DadoBrutoInt_ComSinal;DadoReal
-149112934565;-555,4889685101807
-149381693088;-556,4901720285416
-149524543915;-557,0223328284919
-149801854480;-558,0553951859474
-149985409125;-558,7391895242035
-150128660162;-559,2728412225842
-150395918178;-560,2684549167752
-150498361006;-560,6500841900706
-150668815827;-561,285077881068
-150865462536;-562,0176439583302
-150925226468;-562,2402819544077
-151126356786;-562,9895507767797
-151228521410;-563,3701436594129
-151289939573;-563,5989441461861
-151484840617;-564,3250071145594
-151509119691;-564,4154537133873
-151609504346;-564,7894156947732
-151740654205;-565,2779869921505
-151727770398;-565,2299910709262
-151862197229;-565,7307700403035
-151890745230;-565,8371196314692
-151874871626;-565,7779858484864
-151997139526;-566,2334692701697
-151939126333;-566,017353285104
-151960715129;-566,0977778173983
-152014557907;-566,298357795924
-151921296535;-565,9509321115911
